Column1;;;;;;;;;;
"Bottle 6 months to a year old. 		Thick, viscous black pour with a 1/2 finger tan head that recedes to a light covering.		Coffee, smooth chocolate and dark fruits make for a very pleasant nose. 		Excellent taste. Dark fruits against a backdrop of rich, smooth espresso and dark chocolate. Extremely well integrated, with a great smoothness from the oatmeal. Very light hopping at the end. I've had this before, but do not remember it being nearly this good. The age seems to have treated it extremely well - 6 months to a year seems perfect as the none of the flavors drop out but all the flavors just mesh better.		Mouthfeel is decadent and smooth, with a drinkability that is too good for such a beer.		Highly recommended. One of the better imperial stouts I've had in recent memory.";;;;;;;;;;
"Sent to me from Sudsdog,split a 12 oz bottle with WVbeergeek poured into a Mad Elf tulip glass out on the deck.		Hazy,orangy/reddish color. Light tan head with good retention and suspended yeast particles.		Clean,grassy,very citrusy with some grapefruit notes. Nice,pleasing aroma.		Citrusy,some grapefruit,hops dominate the palate, just enough carmelly maltlyness to nicely balance the taste with some burnt notes in there. A nice clean,sharp,snappy hop bite leaves a citrus rind aftertaste.		Medium body,smooth,creamy slightly cloying with a mouthwatering juicyness.	Very easy drinking,feels nice on the palate. Above average IPA not the best, but very memorable. Would like to drink this one again a lot more than a half bottle next time. An IPA worth a try!";;;;;;;;;;
Poured a rich reddish-copper (almost like crystal cola) in the glass. A 2 finger tan fine pored head sprang up but reduced quickly to only a ring on the glass. Not overly carbonated. overriding aroma is of smoke...good food processing smoke like birch or hardwood...reminiscent of westphalia ham. The first gulp the smoke overpowers your senses..all go blotto on the smoke signals...but after you have a sip or two or you finish a couple of pieces of cheese or oysters, the smoke power wanes and you get the mellow character of this delicate marzen lager...and it is delicate... with lots of subtle complexity (well made) you just dont get there on the first couple of gulps because it's cloaked by the smoke. All in all this is a toughie of a beer to slot...great german beer but perhaps too damn strong on smoke for some to be useful for anything else than a drink with similar strong tasting foods to off set them....like Jalapeno-infused anything or a strong tasting fish meal....I really like this beer and I drink it on its own in a session with out food but then I'm a marzen junke and Bamburg smoked marzen is a real treat for me....I had smoke taste up my nostrils and on the palate the next day...and loved it!;;;;;;;;;;
"Standard dark copper appearance of a dipa, average head to it. For being triple dry hopped, the aroma was good, yet underwhelming. I'd guess some breweries that only have one dry hop addition have more cumulative weight in terms of dry hopping. 3 small additions I'd guess. Grapefruit is the predominant hop aroma.		Grapefruit is the predominant hop flavor as well, massively bitter beer, impressively hides the almost 10% alcohol though. Chalky mouthfeel at times. Not enough malt bill for this one, could have been smoothed out a little. Amazingly sweet at times despite it seemingly lacking enough caramel/malt subsistence to balance out the hops and bitterness. 		Bottle purchased at 99 bottles. Was at a decent enough price I think that I'd recommend it to a hophead. Nothing complex or must have about it though.";;;;;;;;;;
"On tap at GI Clybourn during Rare Stout Night, 25 May 2011. Four ounces in a taster.		This pours deep, viscous black with a small tan head rising up and falling away into just a bit of film with some slight lace sticking around. On the nose, there are mostly equal proportions of bourbon, toasted oats, dark chocolate, coffee, vanilla, and oak, with the maple syrup riding underneath it all. I was surprised that the maple was so subdued and the bourbon so prominent, as I would have expected it to be the opposite. It's a phenomenal nose. In the mouth the base beer comes out a bit more, the dark cocoa, fresh roasted coffee beans, and toasted oats providing the backbone for vanilla, oak, bourbon, and maple to play with. They've taken a great base beer, whatever it is, and aged it in barrels such that the barrel flavors mix and compliment rather than overpower. Again, I was surprised at the maple being more subtle that super sweet. The body is big but not humongous, though the finish is super long with the alcoholic heat dying away last.		Overall, this is a nice counterpart to KBS. To me, they're pretty close in flavor, with one notable addition here. Both of these beers are perfect examples of how barrel aging can take a great beer and make it better, rather than take a great beer and tack flavors on. Everything here is very well integrated. Can't wait for this to hit bottles, and glad I had the opportunity to try it.";;;;;;;;;;
This is my favorite beer. It pours a transparent golden amber color with head that sits just over the top of the beer. The nose is full of sweet caramel. The flavor on this lager is simply amazing. There is a lot of sweet caramel. The feel was moderately thick with not a whole lot of carbonation. Overall, perfect thickness and feel.;;;;;;;;;;
"Appearance: Light light straw colour. Laces the glass nicely but head retention is not so good.		Smell: Hint of floral hops and some metallic notes.		Taste: Not overly bitter, floral and grassy.		Mouthfeel: Light body. Perfect carbonation.		Drinkability: Easy to drink for sure.";;;;;;;;;;
"Thanks to forgetfu for this bonus! 12oz pry-top brown glass bottle. Neck stamped **/05/09 (can't read the first numbers).		Pours a deadly silent thick, oily black with hardly any bubbles at all.		Nose is chock full o nuts with roasted coffee grounds, bittersweet baker's chocolate, dusty cocoa powder, black-strap molasses, and charred wood.		Palate is full-bodied and bitter. There's some residual sugar in there, but it's hidden very well by the roasted/burnt malts and aggressive bittering hops. Flavors are of black coffee, bitter dark chocolate, toasted oak chips, chocolate sauce, burnt malt, and cocoa nibs. Very little carbonation. Finish is long and drying.		Notes: A lot more bitter than I remembered this being. A damn fine beer. I personally like a little more sweetness to sneak through, but this is really well made. Still very bitter at over a year old.";;;;;;;;;;
This beer is one of my favs.  It has a nice look to it and goes down very well.  The hops are there for us hopheads but not overbearing for those people that do not care for the bitterness. I would highly recommend this beer.........CHEERS;;;;;;;;;;
"a - pours pitch black and fresh motor oil thick, half-inch deep tan head with retention mostly around the edges, good lacing, exactly what I want to see in a stout		s - big coffee aroma, solid roasted malt presence as well as some dark chocolate notes, alcohol hints there too		t - sweet bitterness up front, big bold coffee flavor dominates, but not in a bad way, supported nicely by bittersweet chocolate and roasted malt, finish is slightly bitter and dry, alcohol is hidden nicely, while coffee is really the star here, it doesn't overwhelm the rest of the flavors at all, very complex		m - very full-bodied and creamy, just enough carbonation for a stout, I agree with previous reviewers that the oatmeal undoubtedly contributes to the amazing mouthfeel, dry finish		d - surprisingly drinkable for a big stout, the alcohol is not overpowering at all and the complex and interesting taste kept me sipping		Breakfast Stout lived up to all the hype for me. Wonderfully complex stout that's surprisingly drinkable. I'm glad I have 12 more bottles of this to enjoy!";;;;;;;;;;
"Brown twist top bottle with no best by date. 	15 IBU's and 6.5% alc. by vol. Malt beverage brewed with cherry puree.		A: Light red, slightly cloudy with light pink head and minimal lacing.		S: Mild dark cherry/bing cherry scent. Not much of anything else.		T&M: Light body with medium to heavy carbonation. Tastes like cherries.... what a surprise. Very good flavor. Not too overpowering with a slightly dry aftertaste. Mild tangy and medicinal flavor, but overall better than average. 		I probably still prefer a good batch of Sam's cherry wheat to this, especially for the price. Founder's is a high quality brew though, and this is a very good ale.";;;;;;;;;;
"I drank this from a 12oz bottle into my Rochefort chalice.		The pours a deep gold that is almost orangy, it is a very intriguiing yet confusing color. The head is about one finger and white. It lasts about a minute and leaves a filmy white cover. The lacing is good. 		The aroma is very light, small amounts of hops but that's pretty much it.		The taste is bold explosion of flavor compared to the aroma. Is strong and complex with lots of soft hops and a little sweetness. 		The mouthfeel is light, highly drinkable.";;;;;;;;;;
"Saw this last year and thought it was a high price, at the time I actually thought it was. A year later I have come to realize the high prices of craft beer and purchased a four pack. Bottled 09/28/10.		A- Yellow orange, very clear with a nice frothy off-white head. Head retention is nice and I can see huge webs of lacing forming off the head already. A good amount of spotty lace randomly on the glass.		S- Hops forward. I get a lot of citrus and tropical fruit notes along with a good dose of pine and earthy notes. Slight yeast and malt in the background.		T- Flavorful but different from the aroma. Hops dominate lending a lot of pine, floral, citrus zest, grapefruit and earthy flavors. Malt breaks in just a tiny bit with caramel. Slight yeast bread notes in the finish.		MF- Very light but a nice creaminess makes up for it. The carbonation is in the low-moderate range and feels nice. A strong bitterness and even some warmth are sensations left on the palate in the finish.		DB- A very hoppy APA (whooda thunk it). To me it is comparable to the Centennial IPA but brings a better hop flavor to the table. Solid, drinks smoothly and easily.";;;;;;;;;;
"It's about time I review this beer but I've been too busy drinking it all week. I must say that this is one of my favorite beers of all time but has one big flaw--It is way too drinkable for being 12%		anyways...		Poured into a snifter, dark black with a thin quickly dissipating brown head		Smells quite tame, little chocolate, dark berries		Tastes very chocolatey with a smooth finish. Very little bite. As nemesis warms up it feels more like wine and chocolate being paired together. It's an all around beautiful experience.		Way too drinkable, I keep kicking these back. I have been paying five dollars for a decent sized snifter and have been very happy. It just tastes and feels so good that I am sad that this beer will only be made once.";;;;;;;;;;
"A nice sweet, malty beer...nothing complex, just a smooth refreshing drink that reveals no hint of 8.3 abv.		Pours an ice-tea colored brown. If held to the light, the very center of the beer is dense. Lots of light comes through on the sides. Tan head is average size with poor retention. Good lacing. Smell and taste are of caramel malts. Must be balanced very well because it is quite sweet but not cloying or too sweet for mass consumption. Mouthfeel is thick and rich. Drinkability is good. I finished off the 12 oz bottle quickly and could have enjoyed more.		This is one you have to be in the mood for, but if you are looking for something well made and sweet, this will do it for you.";;;;;;;;;;
"Pours out deep brown with orange running up and down the stream and sits a gleaming deep cherrywood in the glass with a fair sized tan head, fading to a light skim with some minor lacings.		Smells rich and malty, nice and toasty. Dark brown sugar, mollases and toffee are sweet to the nose. Faint hints of rasins and dates, mild prune appearance. Bits of spice and brown leafy aromas sit on the sidelines, it's all about the malts here.		Tastes sweet from the get-go. Mollases all the way and dark, nearly scorched caramel. Dark brown toast flavor with bits of graininess. Some flavors of Asian pears push out from the maltiness, skins and all. Nice hop bitterness, light that is. Some peppery flavors emerge. Finishes with nice bitterness with lingering toastiness and spicy hop flavors.		Smooth and creamy in the mouth with soft, delicate carbonation. Medium-full body, a bit less than expected.		Nice, rich flavors with an attractive spicy touch. Good times had by all. Just tasty all the way.";;;;;;;;;;
Dull, faded orange. Thin off white head. Lace is minimal. Nice aroma of sweet pumpkin pulp. Not a lot of spicing going on the nose, but that's alright. Too many overspiced pumpkin ales on the market. The spicing comes through a little more on the palate. Cinamon and ginger lightly compliment the nice round pumpkin flavor. This is one of the better pumpkin beers I've had. Malts add some sweetness without cloying it up. Full body and flavorful. Nice beer.;;;;;;;;;;
"first sampling of this i had was at the E.B.F. N.O.T.B., and it was excellent, after not seeing it anywhere for a few months, i got aggravated....	finally, last night, i got some at the Sunset in Allston.		served in a 9 oz brandy snifter.		dark, thick, black, tan lacing around the top, there may have been a little head when they poured it, but if that was the case, it was gone by the time it made it to our table.		had to sip before swirling because they filled it right up to about a tenth of an inch below the top of the glass, after a nice first sip, i gave it a swirl and a deep sniff, it basically reminded me of breakfast...like the name would imply.... i got strong aromas of coffee (just after adding a little sugar), buried under that was a smell reminiscant of maple syrup and butter on top fresh, hot chocolate chip pancakes, and finally a little scent of maple bacon in the distant background. 		the taste is just excellent, strong coffee and maple syrup flavors, dark chocolate, and in the finish, i almost detect some thing that reminds me of the aftertaste of heavily buttered pancakes.		thick, rich, deep, chewy body, amazing, lightly carbonated, heavy mouthfeel...lightly syrupy.		very tasty, and easy to sip, but still not quite perfect on the drinkablility scale";;;;;;;;;;
Draft At brewpub.;;Poured a clear dark ruby color with an average creamy head that mostly lasted with good lacing.;;Good sweet fruit and alcohol aroma.;;Medium body with a sticky texture and soft carbonation.;;Heavy bittersweet flavor with a long bittersweet alcohol warming finish.;;The beer goes well with the pizza and basketball game.
"WOW! AMAZING! This is a truly great stout. 	Pours a super dark chocolate black with a light chocolate colored head that sits there all the way thru the drinking experience. Smells of rich mocha. Its aroma gives off a breakfast vibe, coffee, with a hint of chocolate and cream. The taste is even better. Rich and chewy coffee and chocolate flavors. Incredibly smooth, with a lovely coating in the mouth. This could be a breakfast as well as a dessert! Two or three of these would be the perfect way to end an evening.";;;;;;;;;;
"Thanks to dontcostnuthin for sending this one my way. Review from notes.		A: Pours an inky/oily dark black. A one finger tan/mocha colored head forms on top, with decent retention and no lacing. 		S: I immediately get the sweet oats. There is also some roasted malt, bittersweet chocolate, and a little bit of hops. 		T: Very roasty flavor with the oats coming through as well, but not as strong as the aroma indicated, and not as sweet either. Nice mixture of coffee, licorice, and a little bit of molasses. 		M: Full bodied and on the thicker side, but very smooth. Has a bitter-sweet finish.		O: A solid RIS, but not my favorite. From what I have seen a bit pricey as well, even though I got this one in a BIF. If I found it for the right price I would certainly get it again though.";;;;;;;;;;
"Poured into my Stone IRS tulip		A - Inky black with a small head that quickly dissipates to a fat ring around the glass. Moderate lacing.		S - Dark roasted malt, molasses, licorice and chocolate.		T - Pretty close to the nose, with big notes of coffee coming into play. There's a bit of hop bitterness that really balances this one out, very complex.		M - Very creamy with a medium-heavy body and moderate, ""prickly"" carbonation.		D - About as drinkable as a 10.5% AV stout can be, this is a great example of the style and is absolutely perfect on a cool fall evening. Another great beer from Founders!";;;;;;;;;;
"very dirty and hazy ruby red and orange, light head. basically no retention		floral amarillo with slight pine and grapefruit.		a light sweet citrus bitterness, mostly at the finish. very floral throughout. slight pine flavor with a light malty biscuit like backbone. 		i poured this myself, not sure if i killed the carbonation but it was there when i did the partial fill. slight to little bite, pretty full bodied.		this is sooo easy to drink and has tons of flavors going on. quite glad i got to try this.";;;;;;;;;;
"Picked this one up just because it's a Pennsylvania brew, I'm all about the locals, now.		Appearance: Pours a crystal clear golden yellow color. Head was initially big and fluffy white, but is now a thin layer. Lacing is quite nice.		Smell: Hints of raw honey (one thing I actually know the smell of, I have a big piece of cut comb honey in my kitchen), also a bit of a malty/grainy aroma.		Taste: Sweet, malty, long lasting finish on this one that kinda evens out the taste.		Mouthfeel: Not a big, chewy mouthful of a beer, I think that's more the style than anything. Carbonation is spot on, alcohol is subdued, but noticeable.		Drinkability: I'm going to get a few more of these, not just cause its a PA brew, but because this is one tasty beer. Very nicely done. I'm going to be sad when this glass is empty.";;;;;;;;;;
"I choose this as my complementary pint at the Black Party.		Sizable thick, marshmallow-like mocha head which doesn't go anywhere while you drink. Really just gorgeous looking. The liquid is black with brown highlights when held up to the light.		Smells delicious! Hazelnut and coffee. The taste echoes the smell, but with subtle hints of tart cherries hovering in the background. The mouthfeel is thick yet very smooth. Quite quaffable.		My relationship with this brew is kind of funny. I first tried it when I had only been drinking good beer for about a month (and consequently knew absolutely nothing about it). I hated Frangelic Stout. This beer is the reason I decided that I ""hated stouts""... a year and a half (and a lot of research) later, this is by far my favorite stout. Until after I tried a bunch of other stouts could I recognize the true genius of this beer. This brew is very flavorful, without being forceful. It's just a nice, easy to enjoy brew. I love the hazelnut flavor now! Anyway, just another lesson in how much a person can learn if they apply themselves. This kind of story is why I didn't start writing reviews until I felt I had enough experience, and a developed-enough palate to do a decent job at it. Well, anyway, thank you again, Founders! I owe so much of my beer education to you!";;;;;;;;;;
"Poured from the can into a tulip. Nice pour, perfect carbonation, nice medium head, solid lacing.	Aroma is a perfect IPA balance of malt and citrusy piney hops. Taste matches aroma perfectly, this is a very balanced IPA.	One weakness for me is the mouthfeel is the slightest bit thin. For all the flavor and aroma I would like it a bit ""chewier"". 	Very solid IPA.";;;;;;;;;;
"A: Pours a slightly hazy orange/amber color with a small fizzy head that rises and falls very quickly to leave behind a fizzy island and a thin ring. No lacing left behind on the edges of the glass. 		S: This smells great ... roasted pumpkin, cinnamon, allspice, and some nutmeg. Unlike some other pumpkin beers I've had this year, the aroma of this one is complex, yet balanced, with just the right amount of fall spices.		T: Starts out kind of bland with some fresh pumpkin and a slight earthiness. The middle ground intensifies a little with some nutmeg and a but of fresh apples. The finish come alive even more with cinnamon, nutmeg, and some clove. The finish is really nice. Again, not overly spicy, with a great pumpkin flavor (more fresh pumpkin than roasted).		M: I knew from the appearance that this had a ton of bubbles. Highly carbonated that I thought would work at first, but really takes away from the beer. This beer tries to be creamy on the front end, but it becomes prickly on the tongue due to the overwhelming carbonation. Slightly drying at the finish as well.		D: This is a great pumpkin beer. I love a pumpkin beer that can balance the pumpkin and the spices, and this one balanced the two better than any other I've had this year. If the mouthfeel was better (carbonation lower), this would be really drinkable. Unfortunately, not the case. That's ok, though, because this is the best one I've had this year to date. Trying a good bit tomorrow though, so we'll see how it holds up.";;;;;;;;;;
"120z stubby bottle into a chalice. 		A: Absolutely black with a one finger mocha head. Tiny carb bubbles dancing just under the head. Lacing is nice.		S: Bourbon is the first scent that enters my nostrils. Followed by coffee, dark chocolate, cocoa, and roasted malt. Very nice.		T: Bourbon is the first thing I noticed here too. Also expresso, a touch of oak, bitter dark chocolate, and some dark fruit. The hop profile is muted but here also. This is a complex beer.		M: Very thick, and oily, but not overly so. I detect little carbonation. I've tasted plenty of stouts, and this one seems spot on for the style in my opinion.		D: It's hard to believe that this is an 11+% beer! I've had 9% beers that don't hide the alcohol this well. This is a slow sip and savor beer, but each sip begs you to take another. I only wish I would have picked up more.		This is a fantastic stout fully deserving of all the accolades it receives.";;;;;;;;;;
"Grabbed a few ""swigs"" from my wife's glass. Nice amber color, not much bite, good malt, just a good drinking beer. It went down good with the food I was drinking. Although I am not an ""amber"" man, I could certainly drink this again.";;;;;;;;;;
This brew is probably the best I've had from this brewery. This brew poured out as a really nice black color with a creamy looking brown head on top. The smell of the brew is chocolaty and roasted with some light sweetness on the nose too. The taste has a little bit of some coffee like flavors along with a sweet roasted malt character in there too. The mouthfeel is creamy, thick and dry in that order. Overall this beer is really nice. Worth a try for sure.;;;;;;;;;;
"A: cloudy golden straw w/orange highlights. nice white head and lacing.	S: fresh peaches dominate, with some wheat beer notes underneath.	T: lightly sweet bready malt, peaches. has a lightly sourish twang from the peaches and wheat. not too puckerish though. finishes dry and crisp with peach flavor lingering. the peach character is just right in this one, while allowing just enough of the base beer to show through.	M: light-bodied, frothy, crisp. a good summer beer.	D: one of the better fruit beers i've had, not too sweet, not too sour, not cough syrupy at all. a light bodied refresher and certainly worth a try if you like peaches. 	i like this stuff and i'm not afraid to admit it. very well done.";;;;;;;;;;
"Received bottles from grub and Unclejedi...drank one of them, saving the other.	This has a tremendous reputation, so I'll try to remain calm.	Pours black, silky, some dark burgundy/ruby hints. Head comes to about a 1/2 finger. Medium brown. I think I served it a bit cold, we'll see how it holds up.	Wow, the smell is rich coffee grounds, roasted coffee beans, some prune and anise. Chocolate seems to linger, but not a lot. Alcohol? I don't detect it. Man, this coffee is strong.	Taste is fantastic. Starts as expected with the coffee. A slight intensity is followed by a move toward more caramel and whisky, hint of alcohol. Then it moves to a slight bite of anise and hops, earth tones. Then it moves on to the chocolate. A rich dark chocolate aftertaste, clean and silky. Which leads me to the feel. Silk, not really heavy, not velvet. A smoothness to it. Real nice. Drinks very well for the style, abv, and for me.	What a brew!";;;;;;;;;;
"Received in trade from TexIndy, Thanks for the opportunity.		Pours a solid black with a smallish tan head that doesn't visit for very long. Smells of chocolate syrup and roast, slight perfume aroma and a bit of alcohol as it warms. Taste is roasty and filled with chocolates. Hop presence is felt mid to finish as well as a bit of alcohol bite, which then gives way to a roast bitterness. Body is thick, mouthfeel is smooth and creamy, carbonation is low but adequate. Its a good Imp Stout, hoppier than I like. I wish I had more so I could lay some down.";;;;;;;;;;
"Pours out to an amberish straw with a decent sized head that subsides moderately to a 1 finger head.		Smell is fairly malty for this type of beer. The hops are pretty faint, but there, floral.		The taste is very mellow, and pretty balanced. Hops are rather mellow and are more bitter than spicy. Fairly clean finish, though maybe not as fast as some other lagers.		Mouthfeel is rather smooth. Thick for a lager, very low on the carbonation.		Drinkability....		Now I have to say this is a beer that defines the murky term of what drinkability means. I might not be able to put it into words, but is this a very drinkable beer? YES!		I will definitely be on the lookout for this again.";;;;;;;;;;
;;;;;;;;;;
"2008. 		A - Into da snifta. Pours a deep, clear amber/mahogany. The frothy tan head quickly settles to a wispy layer. Minimal, yet present lacing.		S - Smells like barrel-aged Dirty Bastard. Heavy carmelized sugar, brown sugar, bourbon, booze. German chocolate cake. A malty monster.		T - A nice little treat, and a great dessert beer. Runs all over the place... molasses, brown sugar, barrel, bourbon, chocolate caramel torte. Nice alcohol warmth, and a relatively hoppy finish for a Wee Heavy.		M - Great medium-heavy body, as well as a creamy, fine carbonation.		D - At 10.2%, it's the only limiter. This is a fantastic offering from the boys at Founders.		Notes: This is as good as last year... and that makes me happy. I was a little nervous seeing as I wasn't a fan of this year's Breakfast Stout, but this got me reconsidering.		A fantastic brew from a fantastic brewery.";;;;;;;;;;
"Color is a rusted orange murk with a slim, fake orange-tan head of smooth foam. Brief lasting, glaring lace in thick, short strings stick across the glass.		Fat and juicy aroma with evident alcohol laced with a pinch of mint. Hops juices are there in full swing with dark citrusy piths, oils, and peels. Semi bittering on the nose too as a fairly large backing of caramel malt keeps a nice balance.		Taste mirrors the aroma well with a nice balancing act of dark citrusy oils and caramel malt. Very Barelywine-esk in character.	Finish is what brings this full circle. It takes a while to develope as its front and middle is moslty the malt base leveling the playing field for the team of hops to take their positions on the palate. Lots of piney bittering tones mesh with some dark citric hop oils. Big warmth at the end. Whoof da, wow does this stuff have some late kick too it. So watch out and hold on. Its a wonderful ride.		Feel is oily and rich with a medium body. Soothingly bold and smooth. Again, much like a Barleywine here. Nice hoppy finish and alcoholic stealth. Seems to have some areas missing for a beer this big, perhaps the complexity isn't up to par with some other 2IPA's but its stellar for any beer whatever you want to call it.		A fairly big taster and holds its own with most big West Coast goodies. Not a sessioning beer. A hoppy nectar sipper if anything.";;;;;;;;;;
"2011 Devil Dancer, bottled 6-17-11, consumed from a modern day tulip.		A - hazy, orange-ish gold, real nice head.	S - Dank! It smells like a pine forest in March or a pile of soaking wet hay, if you please.	T - Dominates the palate, hoppy and malty to the extreme. For 12% ABV (the taproom says 13%, thanks a lot Ohio) the alcohol is not very prominent. This would be excellent with some spicy Thai food.	M - creamy, with some zing from the carbonation.	O - I'm somewhat biased because I love this beer, it is definitely not for the faint of tongue. For me, this really epitomizes a triple IPA.		Cheers.";;;;;;;;;;
